,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Daily Grand Total,"143,101,700",,Monthly Grand Total,"143,101,700",,Annual Grand Total,"142,845,681",,,,,,,
,,,,,,,,,,,,,,
Day,Number of Bicycle Hires,,Month,Number of Bicycle Hires,,Year,Number of Bicycle Hires,,,Month,Average Hire Time (mins),,Against last month,Against last year
07/12/2013,"13,625",,,,,,,,,,,,,
08/12/2013,"13,076",,,,,,,,,,,,,
09/12/2013,"19,969",,,,,,,,,,,,,
10/12/2013,"20,432",,,,,,,,,,,,,
11/12/2013,"19,123",,,,,,,,,,,,,
12/12/2013,"19,420",,,,,,,,,,,,,
13/12/2013,"16,921",,,,,,,,,,,,,
14/12/2013,"14,049",,,,,,,,,,,,,
15/12/2013,"8,557",,,,,,,,,,,,,
16/12/2013,"13,825",,,,,,,,,,,,,
17/12/2013,"15,689",,,,,,,,,,,,,
18/12/2013,"17,311",,,,,,,,,,,,,
19/12/2013,"17,738",,,,,,,,,,,,,
20/12/2013,"18,046",,,,,,,,,,,,,
21/12/2013,"5,774",,,,,,,,,,,,,
22/12/2013,"9,233",,,,,,,,,,,,,
23/12/2013,"6,246",,,,,,,,,,,,,
24/12/2013,"6,201",,,,,,,,,,,,,
25/12/2013,"27,715",,,,,,,,,,,,,
26/12/2013,"7,666",,,,,,,,,,,,,
27/12/2013,"7,258",,,,,,,,,,,,,
28/12/2013,"10,533",,,,,,,,,,,,,
29/12/2013,"10,983",,,,,,,,,,,,,
30/12/2013,"8,413",,,,,,,,,,,,,
31/12/2013,"7,701",,,,,,,,,,,,,
01/01/2014,"4,327",,,,,,,,,,,,,
02/01/2014,"15,820",,,,,,,,,,,,,
03/01/2014,"11,636",,,,,,,,,,,,,
04/01/2014,"6,918",,,,,,,,,,,,,
05/01/2014,"9,145",,,,,,,,,,,,,
06/01/2014,"13,066",,,,,,,,,,,,,
07/01/2014,"17,420",,,,,,,,,,,,,
08/01/2014,"19,770",,,,,,,,,,,,,
09/01/2014,"19,143",,,,,,,,,,,,,
10/01/2014,"18,840",,,,,,,,,,,,,
11/01/2014,"15,723",,,,,,,,,,,,,
12/01/2014,"11,975",,,,,,,,,,,,,
13/01/2014,"17,721",,,,,,,,,,,,,
14/01/2014,"20,740",,,,,,,,,,,,,
15/01/2014,"19,243",,,,,,,,,,,,,
16/01/2014,"18,861",,,,,,,,,,,,,
17/01/2014,"17,434",,,,,,,,,,,,,
18/01/2014,"15,333",,,,,,,,,,,,,
19/01/2014,"16,083",,,,,,,,,,,,,
20/01/2014,"21,218",,,,,,,,,,,,,
21/01/2014,"21,756",,,,,,,,,,,,,
22/01/2014,"21,072",,,,,,,,,,,,,
23/01/2014,"20,020",,,,,,,,,,,,,
24/01/2014,"19,272",,,,,,,,,,,,,
25/01/2014,"14,581",,,,,,,,,,,,,
26/01/2014,"7,033",,,,,,,,,,,,,
27/01/2014,"18,285",,,,,,,,,,,,,
28/01/2014,"19,939",,,,,,,,,,,,,
29/01/2014,"10,585",,,,,,,,,,,,,
30/01/2014,"17,052",,,,,,,,,,,,,
31/01/2014,"13,859",,,,,,,,,,,,,
01/02/2014,"13,981",,,,,,,,,,,,,
02/02/2014,"15,924",,,,,,,,,,,,,
03/02/2014,"20,370",,,,,,,,,,,,,
04/02/2014,"21,217",,,,,,,,,,,,,
05/02/2014,"29,418",,,,,,,,,,,,,
06/02/2014,"25,395",,,,,,,,,,,,,
07/02/2014,"19,857",,,,,,,,,,,,,
08/02/2014,"10,928",,,,,,,,,,,,,
09/02/2014,"11,657",,,,,,,,,,,,,
10/02/2014,"19,278",,,,,,,,,,,,,
11/02/2014,"18,514",,,,,,,,,,,,,
12/02/2014,"18,000",,,,,,,,,,,,,
13/02/2014,"20,954",,,,,,,,,,,,,
14/02/2014,"12,794",,,,,,,,,,,,,
15/02/2014,"11,208",,,,,,,,,,,,,
16/02/2014,"18,484",,,,,,,,,,,,,
17/02/2014,"19,013",,,,,,,,,,,,,
18/02/2014,"19,484",,,,,,,,,,,,,
19/02/2014,"21,556",,,,,,,,,,,,,
20/02/2014,"19,396",,,,,,,,,,,,,
21/02/2014,"21,269",,,,,,,,,,,,,
22/02/2014,"20,033",,,,,,,,,,,,,
23/02/2014,"13,680",,,,,,,,,,,,,
24/02/2014,"21,469",,,,,,,,,,,,,
25/02/2014,"20,713",,,,,,,,,,,,,
26/02/2014,"23,938",,,,,,,,,,,,,
27/02/2014,"20,629",,,,,,,,,,,,,
28/02/2014,"13,781",,,,,,,,,,,,,
01/03/2014,"18,823",,,,,,,,,,,,,
02/03/2014,"11,727",,,,,,,,,,,,,
03/03/2014,"18,150",,,,,,,,,,,,,
04/03/2014,"23,069",,,,,,,,,,,,,
05/03/2014,"25,102",,,,,,,,,,,,,
06/03/2014,"24,696",,,,,,,,,,,,,
07/03/2014,"24,385",,,,,,,,,,,,,
08/03/2014,"25,556",,,,,,,,,,,,,
09/03/2014,"33,955",,,,,,,,,,,,,
10/03/2014,"24,347",,,,,,,,,,,,,
11/03/2014,"23,871",,,,,,,,,,,,,
12/03/2014,"27,173",,,,,,,,,,,,,
13/03/2014,"27,552",,,,,,,,,,,,,
14/03/2014,"28,134",,,,,,,,,,,,,
15/03/2014,"29,664",,,,,,,,,,,,,
16/03/2014,"34,421",,,,,,,,,,,,,
17/03/2014,"26,465",,,,,,,,,,,,,
18/03/2014,"25,502",,,,,,,,,,,,,
19/03/2014,"26,719",,,,,,,,,,,,,
20/03/2014,"23,718",,,,,,,,,,,,,
21/03/2014,"23,821",,,,,,,,,,,,,
22/03/2014,"19,091",,,,,,,,,,,,,
23/03/2014,"17,463",,,,,,,,,,,,,
24/03/2014,"24,055",,,,,,,,,,,,,
25/03/2014,"19,421",,,,,,,,,,,,,
26/03/2014,"20,493",,,,,,,,,,,,,
27/03/2014,"23,462",,,,,,,,,,,,,
28/03/2014,"24,198",,,,,,,,,,,,,
29/03/2014,"29,511",,,,,,,,,,,,,
30/03/2014,"26,605",,,,,,,,,,,,,
31/03/2014,"26,715",,,,,,,,,,,,,
01/04/2014,"29,782",,,,,,,,,,,,,
02/04/2014,"28,876",,,,,,,,,,,,,
03/04/2014,"28,245",,,,,,,,,,,,,
04/04/2014,"27,401",,,,,,,,,,,,,
05/04/2014,"25,648",,,,,,,,,,,,,
06/04/2014,"16,387",,,,,,,,,,,,,
07/04/2014,"18,883",,,,,,,,,,,,,
08/04/2014,"26,654",,,,,,,,,,,,,
09/04/2014,"29,621",,,,,,,,,,,,,
10/04/2014,"29,229",,,,,,,,,,,,,
11/04/2014,"28,435",,,,,,,,,,,,,
12/04/2014,"25,706",,,,,,,,,,,,,
13/04/2014,"31,404",,,,,,,,,,,,,
14/04/2014,"28,742",,,,,,,,,,,,,
15/04/2014,"30,031",,,,,,,,,,,,,
16/04/2014,"30,934",,,,,,,,,,,,,
17/04/2014,"27,676",,,,,,,,,,,,,
18/04/2014,"22,152",,,,,,,,,,,,,
19/04/2014,"21,424",,,,,,,,,,,,,
20/04/2014,"7,188",,,,,,,,,,,,,
21/04/2014,"20,532",,,,,,,,,,,,,
22/04/2014,"22,689",,,,,,,,,,,,,
23/04/2014,"27,102",,,,,,,,,,,,,
24/04/2014,"29,119",,,,,,,,,,,,,
25/04/2014,"20,400",,,,,,,,,,,,,
26/04/2014,"25,195",,,,,,,,,,,,,
27/04/2014,"21,284",,,,,,,,,,,,,
28/04/2014,"29,474",,,,,,,,,,,,,
29/04/2014,"46,333",,,,,,,,,,,,,
30/04/2014,"49,025",,,,,,,,,,,,,
01/05/2014,"16,644",,,,,,,,,,,,,
02/05/2014,"26,510",,,,,,,,,,,,,
03/05/2014,"31,534",,,,,,,,,,,,,
04/05/2014,"33,030",,,,,,,,,,,,,
05/05/2014,"33,748",,,,,,,,,,,,,
06/05/2014,"32,323",,,,,,,,,,,,,
07/05/2014,"28,802",,,,,,,,,,,,,
08/05/2014,"19,398",,,,,,,,,,,,,
09/05/2014,"30,131",,,,,,,,,,,,,
10/05/2014,"19,373",,,,,,,,,,,,,
11/05/2014,"17,645",,,,,,,,,,,,,
12/05/2014,"26,149",,,,,,,,,,,,,
13/05/2014,"25,351",,,,,,,,,,,,,
14/05/2014,"34,122",,,,,,,,,,,,,
15/05/2014,"35,148",,,,,,,,,,,,,
16/05/2014,"36,268",,,,,,,,,,,,,
17/05/2014,"38,147",,,,,,,,,,,,,
18/05/2014,"43,663",,,,,,,,,,,,,
19/05/2014,"37,088",,,,,,,,,,,,,
20/05/2014,"33,626",,,,,,,,,,,,,
21/05/2014,"34,437",,,,,,,,,,,,,
22/05/2014,"30,819",,,,,,,,,,,,,
23/05/2014,"30,556",,,,,,,,,,,,,
24/05/2014,"18,723",,,,,,,,,,,,,
25/05/2014,"33,401",,,,,,,,,,,,,
26/05/2014,"12,049",,,,,,,,,,,,,
27/05/2014,"14,446",,,,,,,,,,,,,
28/05/2014,"21,978",,,,,,,,,,,,,
29/05/2014,"29,229",,,,,,,,,,,,,
30/05/2014,"31,331",,,,,,,,,,,,,
31/05/2014,"35,040",,,,,,,,,,,,,
01/06/2014,"36,655",,,,,,,,,,,,,
02/06/2014,"33,481",,,,,,,,,,,,,
03/06/2014,"29,332",,,,,,,,,,,,,
04/06/2014,"25,905",,,,,,,,,,,,,
05/06/2014,"34,617",,,,,,,,,,,,,
06/06/2014,"37,440",,,,,,,,,,,,,
07/06/2014,"29,919",,,,,,,,,,,,,
08/06/2014,"44,415",,,,,,,,,,,,,
09/06/2014,"34,305",,,,,,,,,,,,,
10/06/2014,"40,128",,,,,,,,,,,,,
11/06/2014,"39,582",,,,,,,,,,,,,
12/06/2014,"39,928",,,,,,,,,,,,,
13/06/2014,"40,036",,,,,,,,,,,,,
14/06/2014,"32,758",,,,,,,,,,,,,
15/06/2014,"28,944",,,,,,,,,,,,,
16/06/2014,"31,592",,,,,,,,,,,,,
17/06/2014,"37,658",,,,,,,,,,,,,
18/06/2014,"35,431",,,,,,,,,,,,,
19/06/2014,"36,113",,,,,,,,,,,,,
20/06/2014,"36,924",,,,,,,,,,,,,
21/06/2014,"42,463",,,,,,,,,,,,,
22/06/2014,"41,596",,,,,,,,,,,,,
23/06/2014,"35,206",,,,,,,,,,,,,
24/06/2014,"38,066",,,,,,,,,,,,,
25/06/2014,"39,623",,,,,,,,,,,,,
26/06/2014,"35,438",,,,,,,,,,,,,
27/06/2014,"35,912",,,,,,,,,,,,,
28/06/2014,"20,199",,,,,,,,,,,,,
29/06/2014,"26,714",,,,,,,,,,,,,
30/06/2014,"32,193",,,,,,,,,,,,,
01/07/2014,"39,495",,,,,,,,,,,,,
02/07/2014,"40,878",,,,,,,,,,,,,
03/07/2014,"43,116",,,,,,,,,,,,,
04/07/2014,"38,316",,,,,,,,,,,,,
05/07/2014,"27,332",,,,,,,,,,,,,
06/07/2014,"31,117",,,,,,,,,,,,,
07/07/2014,"36,191",,,,,,,,,,,,,
08/07/2014,"35,107",,,,,,,,,,,,,
09/07/2014,"38,844",,,,,,,,,,,,,
10/07/2014,"32,108",,,,,,,,,,,,,
11/07/2014,"27,618",,,,,,,,,,,,,
12/07/2014,"38,331",,,,,,,,,,,,,
13/07/2014,"33,227",,,,,,,,,,,,,
14/07/2014,"38,450",,,,,,,,,,,,,
15/07/2014,"40,888",,,,,,,,,,,,,
16/07/2014,"42,341",,,,,,,,,,,,,
17/07/2014,"42,404",,,,,,,,,,,,,
18/07/2014,"40,543",,,,,,,,,,,,,
19/07/2014,"37,061",,,,,,,,,,,,,
20/07/2014,"34,379",,,,,,,,,,,,,
21/07/2014,"38,499",,,,,,,,,,,,,
22/07/2014,"42,928",,,,,,,,,,,,,
23/07/2014,"42,486",,,,,,,,,,,,,
24/07/2014,"42,412",,,,,,,,,,,,,
25/07/2014,"31,881",,,,,,,,,,,,,
26/07/2014,"43,788",,,,,,,,,,,,,
27/07/2014,"39,917",,,,,,,,,,,,,
28/07/2014,"36,203",,,,,,,,,,,,,
29/07/2014,"42,308",,,,,,,,,,,,,
30/07/2014,"43,044",,,,,,,,,,,,,
31/07/2014,"41,970",,,,,,,,,,,,,
01/08/2014,"40,009",,,,,,,,,,,,,
02/08/2014,"38,046",,,,,,,,,,,,,
03/08/2014,"41,944",,,,,,,,,,,,,
04/08/2014,"39,856",,,,,,,,,,,,,
05/08/2014,"40,716",,,,,,,,,,,,,
06/08/2014,"38,665",,,,,,,,,,,,,
07/08/2014,"42,491",,,,,,,,,,,,,
08/08/2014,"34,234",,,,,,,,,,,,,
09/08/2014,"47,454",,,,,,,,,,,,,
10/08/2014,"23,980",,,,,,,,,,,,,
11/08/2014,"31,725",,,,,,,,,,,,,
12/08/2014,"34,827",,,,,,,,,,,,,
13/08/2014,"37,856",,,,,,,,,,,,,
14/08/2014,"27,185",,,,,,,,,,,,,
15/08/2014,"32,510",,,,,,,,,,,,,
16/08/2014,"47,245",,,,,,,,,,,,,
17/08/2014,"39,952",,,,,,,,,,,,,
18/08/2014,"30,784",,,,,,,,,,,,,
19/08/2014,"35,332",,,,,,,,,,,,,
20/08/2014,"36,817",,,,,,,,,,,,,
21/08/2014,"33,236",,,,,,,,,,,,,
22/08/2014,"34,047",,,,,,,,,,,,,
23/08/2014,"29,999",,,,,,,,,,,,,
24/08/2014,"30,962",,,,,,,,,,,,,
25/08/2014,"6,175",,,,,,,,,,,,,
26/08/2014,"18,448",,,,,,,,,,,,,
27/08/2014,"32,286",,,,,,,,,,,,,
28/08/2014,"31,842",,,,,,,,,,,,,
29/08/2014,"32,439",,,,,,,,,,,,,
30/08/2014,"30,832",,,,,,,,,,,,,
31/08/2014,"33,312",,,,,,,,,,,,,
01/09/2014,"27,455",,,,,,,,,,,,,
02/09/2014,"36,836",,,,,,,,,,,,,
03/09/2014,"36,523",,,,,,,,,,,,,
04/09/2014,"35,448",,,,,,,,,,,,,
05/09/2014,"35,013",,,,,,,,,,,,,
06/09/2014,"33,434",,,,,,,,,,,,,
07/09/2014,"34,248",,,,,,,,,,,,,
08/09/2014,"36,983",,,,,,,,,,,,,
09/09/2014,"37,674",,,,,,,,,,,,,
10/09/2014,"37,091",,,,,,,,,,,,,
11/09/2014,"35,303",,,,,,,,,,,,,
12/09/2014,"37,144",,,,,,,,,,,,,
13/09/2014,"34,174",,,,,,,,,,,,,
14/09/2014,"31,770",,,,,,,,,,,,,
15/09/2014,"36,629",,,,,,,,,,,,,
16/09/2014,"37,535",,,,,,,,,,,,,
17/09/2014,"38,583",,,,,,,,,,,,,
18/09/2014,"38,442",,,,,,,,,,,,,
19/09/2014,"36,841",,,,,,,,,,,,,
20/09/2014,"31,031",,,,,,,,,,,,,
21/09/2014,"33,334",,,,,,,,,,,,,
22/09/2014,"35,178",,,,,,,,,,,,,
23/09/2014,"36,460",,,,,,,,,,,,,
24/09/2014,"32,680",,,,,,,,,,,,,
25/09/2014,"35,367",,,,,,,,,,,,,
26/09/2014,"35,474",,,,,,,,,,,,,
27/09/2014,"35,087",,,,,,,,,,,,,
28/09/2014,"37,873",,,,,,,,,,,,,
29/09/2014,"31,701",,,,,,,,,,,,,
30/09/2014,"37,373",,,,,,,,,,,,,
01/10/2014,"32,733",,,,,,,,,,,,,
02/10/2014,"36,992",,,,,,,,,,,,,
03/10/2014,"37,909",,,,,,,,,,,,,
04/10/2014,"18,967",,,,,,,,,,,,,
05/10/2014,"33,082",,,,,,,,,,,,,
06/10/2014,"24,330",,,,,,,,,,,,,
07/10/2014,"31,465",,,,,,,,,,,,,
08/10/2014,"23,573",,,,,,,,,,,,,
09/10/2014,"26,642",,,,,,,,,,,,,
10/10/2014,"32,510",,,,,,,,,,,,,
11/10/2014,"30,498",,,,,,,,,,,,,
12/10/2014,"23,063",,,,,,,,,,,,,
13/10/2014,"13,299",,,,,,,,,,,,,
14/10/2014,"28,518",,,,,,,,,,,,,
15/10/2014,"25,424",,,,,,,,,,,,,
16/10/2014,"31,541",,,,,,,,,,,,,
17/10/2014,"32,770",,,,,,,,,,,,,
18/10/2014,"28,951",,,,,,,,,,,,,
19/10/2014,"30,480",,,,,,,,,,,,,
20/10/2014,"31,642",,,,,,,,,,,,,
21/10/2014,"24,681",,,,,,,,,,,,,
22/10/2014,"30,642",,,,,,,,,,,,,
23/10/2014,"31,277",,,,,,,,,,,,,
24/10/2014,"29,144",,,,,,,,,,,,,
25/10/2014,"30,053",,,,,,,,,,,,,
26/10/2014,"26,514",,,,,,,,,,,,,
27/10/2014,"33,716",,,,,,,,,,,,,
28/10/2014,"35,320",,,,,,,,,,,,,
29/10/2014,"23,281",,,,,,,,,,,,,
30/10/2014,"32,503",,,,,,,,,,,,,
31/10/2014,"36,478",,,,,,,,,,,,,
01/11/2014,"31,912",,,,,,,,,,,,,
02/11/2014,"15,887",,,,,,,,,,,,,
03/11/2014,"22,347",,,,,,,,,,,,,
04/11/2014,"23,525",,,,,,,,,,,,,
05/11/2014,"27,970",,,,,,,,,,,,,
06/11/2014,"28,274",,,,,,,,,,,,,
07/11/2014,"26,779",,,,,,,,,,,,,
08/11/2014,"17,473",,,,,,,,,,,,,
09/11/2014,"24,099",,,,,,,,,,,,,
10/11/2014,"28,303",,,,,,,,,,,,,
11/11/2014,"28,993",,,,,,,,,,,,,
12/11/2014,"24,878",,,,,,,,,,,,,
13/11/2014,"27,839",,,,,,,,,,,,,
14/11/2014,"21,442",,,,,,,,,,,,,
15/11/2014,"22,842",,,,,,,,,,,,,
16/11/2014,"17,849",,,,,,,,,,,,,
17/11/2014,"21,398",,,,,,,,,,,,,
18/11/2014,"26,094",,,,,,,,,,,,,
19/11/2014,"28,807",,,,,,,,,,,,,
20/11/2014,"29,068",,,,,,,,,,,,,
21/11/2014,"24,070",,,,,,,,,,,,,
22/11/2014,"18,347",,,,,,,,,,,,,
23/11/2014,"6,030",,,,,,,,,,,,,
24/11/2014,"25,884",,,,,,,,,,,,,
25/11/2014,"24,359",,,,,,,,,,,,,
26/11/2014,"23,096",,,,,,,,,,,,,
27/11/2014,"26,765",,,,,,,,,,,,,
28/11/2014,"26,782",,,,,,,,,,,,,
29/11/2014,"24,337",,,,,,,,,,,,,
30/11/2014,"19,998",,,,,,,,,,,,,
01/12/2014,"24,983",,,,,,,,,,,,,
02/12/2014,"21,614",,,,,,,,,,,,,
03/12/2014,"25,376",,,,,,,,,,,,,
04/12/2014,"19,993",,,,,,,,,,,,,
05/12/2014,"22,939",,,,,,,,,,,,,
06/12/2014,"17,431",,,,,,,,,,,,,
07/12/2014,"12,789",,,,,,,,,,,,,
08/12/2014,"23,519",,,,,,,,,,,,,
09/12/2014,"23,925",,,,,,,,,,,,,
10/12/2014,"25,028",,,,,,,,,,,,,
11/12/2014,"23,028",,,,,,,,,,,,,
12/12/2014,"20,436",,,,,,,,,,,,,
13/12/2014,"18,255",,,,,,,,,,,,,
14/12/2014,"14,441",,,,,,,,,,,,,
15/12/2014,"22,940",,,,,,,,,,,,,
16/12/2014,"23,087",,,,,,,,,,,,,
17/12/2014,"22,120",,,,,,,,,,,,,
18/12/2014,"23,196",,,,,,,,,,,,,
19/12/2014,"21,966",,,,,,,,,,,,,
20/12/2014,"14,690",,,,,,,,,,,,,
21/12/2014,"11,802",,,,,,,,,,,,,
22/12/2014,"18,552",,,,,,,,,,,,,
23/12/2014,"16,551",,,,,,,,,,,,,
24/12/2014,"10,385",,,,,,,,,,,,,
25/12/2014,"39,145",,,,,,,,,,,,,
26/12/2014,"7,678",,,,,,,,,,,,,
27/12/2014,"6,349",,,,,,,,,,,,,
28/12/2014,"9,293",,,,,,,,,,,,,
29/12/2014,"12,411",,,,,,,,,,,,,
30/12/2014,"13,120",,,,,,,,,,,,,
31/12/2014,"12,811",,,,,,,,,,,,,
01/01/2015,"9,615",,,,,,,,,,,,,
02/01/2015,"15,389",,,,,,,,,,,,,
03/01/2015,"5,779",,,,,,,,,,,,,
04/01/2015,"9,367",,,,,,,,,,,,,
05/01/2015,"20,566",,,,,,,,,,,,,
06/01/2015,"20,765",,,,,,,,,,,,,
07/01/2015,"22,504",,,,,,,,,,,,,
08/01/2015,"15,769",,,,,,,,,,,,,
09/01/2015,"22,285",,,,,,,,,,,,,
10/01/2015,"14,877",,,,,,,,,,,,,
11/01/2015,"14,738",,,,,,,,,,,,,
12/01/2015,"17,354",,,,,,,,,,,,,
13/01/2015,"24,966",,,,,,,,,,,,,
14/01/2015,"23,767",,,,,,,,,,,,,
15/01/2015,"23,123",,,,,,,,,,,,,
16/01/2015,"22,894",,,,,,,,,,,,,
17/01/2015,"15,443",,,,,,,,,,,,,
18/01/2015,"13,373",,,,,,,,,,,,,
19/01/2015,"23,193",,,,,,,,,,,,,
20/01/2015,"23,384",,,,,,,,,,,,,
21/01/2015,"22,987",,,,,,,,,,,,,
22/01/2015,"23,432",,,,,,,,,,,,,
23/01/2015,"22,093",,,,,,,,,,,,,
24/01/2015,"17,748",,,,,,,,,,,,,
25/01/2015,"15,267",,,,,,,,,,,,,
26/01/2015,"22,867",,,,,,,,,,,,,
27/01/2015,"25,222",,,,,,,,,,,,,
28/01/2015,"21,685",,,,,,,,,,,,,
29/01/2015,"21,421",,,,,,,,,,,,,
30/01/2015,"21,405",,,,,,,,,,,,,
31/01/2015,"10,385",,,,,,,,,,,,,
01/02/2015,"11,420",,,,,,,,,,,,,
02/02/2015,"21,770",,,,,,,,,,,,,
03/02/2015,"20,028",,,,,,,,,,,,,
04/02/2015,"22,056",,,,,,,,,,,,,
05/02/2015,"21,396",,,,,,,,,,,,,
06/02/2015,"21,146",,,,,,,,,,,,,
07/02/2015,"13,324",,,,,,,,,,,,,
08/02/2015,"15,983",,,,,,,,,,,,,
09/02/2015,"24,078",,,,,,,,,,,,,
10/02/2015,"24,399",,,,,,,,,,,,,
11/02/2015,"23,870",,,,,,,,,,,,,
12/02/2015,"23,429",,,,,,,,,,,,,
13/02/2015,"17,836",,,,,,,,,,,,,
14/02/2015,"14,644",,,,,,,,,,,,,
15/02/2015,"17,253",,,,,,,,,,,,,
16/02/2015,"16,548",,,,,,,,,,,,,
17/02/2015,"25,288",,,,,,,,,,,,,
18/02/2015,"25,340",,,,,,,,,,,,,
19/02/2015,"17,081",,,,,,,,,,,,,
20/02/2015,"21,014",,,,,,,,,,,,,
21/02/2015,"16,490",,,,,,,,,,,,,
22/02/2015,"9,214",,,,,,,,,,,,,
23/02/2015,"21,857",,,,,,,,,,,,,
24/02/2015,"23,758",,,,,,,,,,,,,
25/02/2015,"21,708",,,,,,,,,,,,,
26/02/2015,"20,131",,,,,,,,,,,,,
27/02/2015,"24,540",,,,,,,,,,,,,
28/02/2015,"13,677",,,,,,,,,,,,,
01/03/2015,"15,817",,,,,,,,,,,,,
02/03/2015,"22,379",,,,,,,,,,,,,
03/03/2015,"24,001",,,,,,,,,,,,,
04/03/2015,"24,544",,,,,,,,,,,,,
05/03/2015,"24,959",,,,,,,,,,,,,
06/03/2015,"25,527",,,,,,,,,,,,,
07/03/2015,"27,754",,,,,,,,,,,,,
08/03/2015,"20,207",,,,,,,,,,,,,
09/03/2015,"24,230",,,,,,,,,,,,,
10/03/2015,"27,878",,,,,,,,,,,,,
11/03/2015,"27,610",,,,,,,,,,,,,
12/03/2015,"28,324",,,,,,,,,,,,,
13/03/2015,"25,840",,,,,,,,,,,,,
14/03/2015,"18,270",,,,,,,,,,,,,
15/03/2015,"10,744",,,,,,,,,,,,,
16/03/2015,"19,950",,,,,,,,,,,,,
17/03/2015,"25,956",,,,,,,,,,,,,
18/03/2015,"26,618",,,,,,,,,,,,,
19/03/2015,"24,241",,,,,,,,,,,,,
20/03/2015,"25,424",,,,,,,,,,,,,
21/03/2015,"16,304",,,,,,,,,,,,,
22/03/2015,"18,782",,,,,,,,,,,,,
23/03/2015,"25,741",,,,,,,,,,,,,
24/03/2015,"24,161",,,,,,,,,,,,,
25/03/2015,"25,779",,,,,,,,,,,,,
26/03/2015,"20,415",,,,,,,,,,,,,
27/03/2015,"26,567",,,,,,,,,,,,,
28/03/2015,"19,242",,,,,,,,,,,,,
29/03/2015,"8,987",,,,,,,,,,,,,
30/03/2015,"22,235",,,,,,,,,,,,,
31/03/2015,"22,898",,,,,,,,,,,,,
01/04/2015,"23,677",,,,,,,,,,,,,
02/04/2015,"22,818",,,,,,,,,,,,,
03/04/2015,"11,503",,,,,,,,,,,,,
04/04/2015,"13,828",,,,,,,,,,,,,
05/04/2015,"19,685",,,,,,,,,,,,,
06/04/2015,"25,724",,,,,,,,,,,,,
07/04/2015,"29,525",,,,,,,,,,,,,
08/04/2015,"30,882",,,,,,,,,,,,,
09/04/2015,"31,671",,,,,,,,,,,,,
10/04/2015,"32,299",,,,,,,,,,,,,
11/04/2015,"25,415",,,,,,,,,,,,,
12/04/2015,"29,457",,,,,,,,,,,,,
13/04/2015,"28,203",,,,,,,,,,,,,
14/04/2015,"34,830",,,,,,,,,,,,,
15/04/2015,"37,709",,,,,,,,,,,,,
16/04/2015,"30,656",,,,,,,,,,,,,
17/04/2015,"30,001",,,,,,,,,,,,,
18/04/2015,"29,846",,,,,,,,,,,,,
19/04/2015,"19,906",,,,,,,,,,,,,
20/04/2015,"32,163",,,,,,,,,,,,,
21/04/2015,"35,103",,,,,,,,,,,,,
22/04/2015,"32,559",,,,,,,,,,,,,
23/04/2015,"32,935",,,,,,,,,,,,,
24/04/2015,"32,332",,,,,,,,,,,,,
25/04/2015,"25,441",,,,,,,,,,,,,
26/04/2015,"19,565",,,,,,,,,,,,,
27/04/2015,"30,735",,,,,,,,,,,,,
28/04/2015,"32,024",,,,,,,,,,,,,
29/04/2015,"26,197",,,,,,,,,,,,,
30/04/2015,"31,854",,,,,,,,,,,,,
01/05/2015,"29,822",,,,,,,,,,,,,
02/05/2015,"22,474",,,,,,,,,,,,,
03/05/2015,"21,375",,,,,,,,,,,,,
04/05/2015,"26,933",,,,,,,,,,,,,
05/05/2015,"26,633",,,,,,,,,,,,,
06/05/2015,"24,556",,,,,,,,,,,,,
07/05/2015,"31,283",,,,,,,,,,,,,
08/05/2015,"27,029",,,,,,,,,,,,,
09/05/2015,"27,995",,,,,,,,,,,,,
10/05/2015,"32,399",,,,,,,,,,,,,
11/05/2015,"33,872",,,,,,,,,,,,,
12/05/2015,"33,930",,,,,,,,,,,,,
13/05/2015,"36,877",,,,,,,,,,,,,
14/05/2015,"15,657",,,,,,,,,,,,,
15/05/2015,"32,522",,,,,,,,,,,,,
16/05/2015,"32,720",,,,,,,,,,,,,
17/05/2015,"31,506",,,,,,,,,,,,,
18/05/2015,"24,385",,,,,,,,,,,,,
19/05/2015,"28,408",,,,,,,,,,,,,
20/05/2015,"30,650",,,,,,,,,,,,,
21/05/2015,"34,922",,,,,,,,,,,,,
22/05/2015,"33,624",,,,,,,,,,,,,
23/05/2015,"23,989",,,,,,,,,,,,,
24/05/2015,"30,267",,,,,,,,,,,,,
25/05/2015,"29,607",,,,,,,,,,,,,
26/05/2015,"34,880",,,,,,,,,,,,,
27/05/2015,"36,496",,,,,,,,,,,,,
28/05/2015,"34,496",,,,,,,,,,,,,
29/05/2015,"26,155",,,,,,,,,,,,,
30/05/2015,"29,432",,,,,,,,,,,,,
31/05/2015,"15,075",,,,,,,,,,,,,
01/06/2015,"27,893",,,,,,,,,,,,,
02/06/2015,"28,070",,,,,,,,,,,,,
03/06/2015,"35,630",,,,,,,,,,,,,
04/06/2015,"39,687",,,,,,,,,,,,,
05/06/2015,"35,048",,,,,,,,,,,,,
06/06/2015,"33,088",,,,,,,,,,,,,
07/06/2015,"35,757",,,,,,,,,,,,,
08/06/2015,"32,745",,,,,,,,,,,,,
09/06/2015,"33,447",,,,,,,,,,,,,
10/06/2015,"35,862",,,,,,,,,,,,,
11/06/2015,"38,969",,,,,,,,,,,,,
